Sample,Unique_CDR3_Count
matched_SRR18720251.dedup,10739
matched_SRR18719816.dedup,10044
matched_SRR18719975.dedup,8659
matched_SRR18720214.dedup,11212
matched_SRR18720000.dedup,13638
matched_SRR18720202.dedup,8531
matched_SRR18719399.dedup,14407
matched_SRR18719536.dedup,12293
matched_SRR18720327.dedup,15294
matched_SRR18719778.dedup,12738
matched_SRR18720383.dedup,8138
matched_SRR18719771.dedup,14457
matched_SRR18720095.dedup,12289
matched_SRR18719916.dedup,10733
matched_SRR18720323.dedup,9359
matched_SRR18719724.dedup,10997
matched_SRR18720087.dedup,14233
matched_SRR18720107.dedup,12167
matched_SRR18719850.dedup,14354
matched_SRR18720212.dedup,12051
matched_SRR18719491.dedup,11668
matched_SRR18719549.dedup,12019
matched_SRR18719371.dedup,14952
matched_SRR18720135.dedup,11463
matched_SRR18720140.dedup,14795
matched_SRR18719381.dedup,10693
matched_SRR18719927.dedup,12907
matched_SRR18719687.dedup,16130
matched_SRR18720092.dedup,12830
matched_SRR18719708.dedup,10639
matched_SRR18719641.dedup,9082
matched_SRR18720108.dedup,27000
matched_SRR18719369.dedup,12440
matched_SRR18719409.dedup,9329
matched_SRR18719579.dedup,14000
matched_SRR18720160.dedup,12339
matched_SRR18720003.dedup,11699
matched_SRR18720361.dedup,9776
matched_SRR18720229.dedup,12125
matched_SRR18719556.dedup,10474
matched_SRR18720232.dedup,11579
matched_SRR18719544.dedup,12166
matched_SRR18719594.dedup,13595
matched_SRR18719701.dedup,12308
matched_SRR18719756.dedup,19466
matched_SRR18720326.dedup,11759
matched_SRR18720291.dedup,16247
matched_SRR18720222.dedup,9731
matched_SRR18719535.dedup,14935
matched_SRR18719959.dedup,5942
matched_SRR18720044.dedup,10457
matched_SRR18719900.dedup,12309
matched_SRR18720345.dedup,14505
matched_SRR18720101.dedup,13841
matched_SRR18719766.dedup,14907
matched_SRR18719376.dedup,12080
matched_SRR18719610.dedup,10708
matched_SRR18719762.dedup,22245
matched_SRR18719437.dedup,14798
matched_SRR18719416.dedup,10454
matched_SRR18719485.dedup,13804
matched_SRR18720033.dedup,15561
matched_SRR18720307.dedup,12478
matched_SRR18720004.dedup,13338
matched_SRR18719563.dedup,8508
matched_SRR18720234.dedup,12901
matched_SRR18719844.dedup,15024
matched_SRR18719634.dedup,14567
matched_SRR18719643.dedup,12274
matched_SRR18719547.dedup,11472
matched_SRR18720098.dedup,10816
matched_SRR18719998.dedup,13969
matched_SRR18719890.dedup,12909
matched_SRR18720233.dedup,13098
matched_SRR18719386.dedup,10203
matched_SRR18720253.dedup,10466
matched_SRR18719903.dedup,13451
matched_SRR18719905.dedup,7967
matched_SRR18720086.dedup,14050
matched_SRR18719639.dedup,13122
matched_SRR18720030.dedup,14275
matched_SRR18719448.dedup,13223
