Sample,Unique_CDR3_Count
SRR18510896.unmapped.longest_only,1182
SRR18509505.unmapped.longest_only,1410
SRR18511111.unmapped.longest_only,837
SRR18510038.unmapped.longest_only,3317
SRR18510392.unmapped.longest_only,1012
SRR18511414.unmapped.longest_only,1192
SRR18510194.unmapped.longest_only,1739
SRR18510756.unmapped.longest_only,1308
SRR18509609.unmapped.longest_only,4324
SRR18509858.unmapped.longest_only,2037
SRR18510298.unmapped.longest_only,1547
SRR18509303.unmapped.longest_only,1287
SRR18510934.unmapped.longest_only,1556
SRR18509061.unmapped.longest_only,1001
SRR18509328.unmapped.longest_only,1111
SRR18509451.unmapped.longest_only,2145
SRR18510715.unmapped.longest_only,1999
SRR18509580.unmapped.longest_only,3067
SRR18509461.unmapped.longest_only,1278
SRR18510931.unmapped.longest_only,841
SRR18510190.unmapped.longest_only,3423
SRR18510101.unmapped.longest_only,1542
SRR18509639.unmapped.longest_only,2517
SRR18509432.unmapped.longest_only,1339
SRR18510708.unmapped.longest_only,2132
SRR18510822.unmapped.longest_only,1198
SRR18511035.unmapped.longest_only,1016
SRR18510855.unmapped.longest_only,2071
SRR18510837.unmapped.longest_only,3111
SRR18510622.unmapped.longest_only,3181
SRR18511267.unmapped.longest_only,743
SRR18509306.unmapped.longest_only,1415
SRR18510230.unmapped.longest_only,1681
SRR18511497.unmapped.longest_only,1947
SRR18509348.unmapped.longest_only,880
SRR18509026.unmapped.longest_only,1109
SRR18510263.unmapped.longest_only,3942
SRR18509503.unmapped.longest_only,2649
SRR18511136.unmapped.longest_only,2997
SRR18509431.unmapped.longest_only,1318
SRR18509692.unmapped.longest_only,1375
SRR18511053.unmapped.longest_only,1371
SRR18510691.unmapped.longest_only,2695
SRR18511061.unmapped.longest_only,1814
SRR18509700.unmapped.longest_only,844
SRR18511366.unmapped.longest_only,1301
SRR18509188.unmapped.longest_only,1353
SRR18509870.unmapped.longest_only,1802
SRR18511239.unmapped.longest_only,2592
SRR18509684.unmapped.longest_only,1125
SRR18511284.unmapped.longest_only,1548
SRR18511457.unmapped.longest_only,1078
SRR18510088.unmapped.longest_only,1179
SRR18509915.unmapped.longest_only,958
SRR18510233.unmapped.longest_only,1392
SRR18509287.unmapped.longest_only,1140
SRR18510576.unmapped.longest_only,1039
SRR18509095.unmapped.longest_only,1375
SRR18509236.unmapped.longest_only,1493
SRR18509168.unmapped.longest_only,763
SRR18509602.unmapped.longest_only,1148
SRR18509688.unmapped.longest_only,1198
SRR18511441.unmapped.longest_only,1763
SRR18510889.unmapped.longest_only,5618
SRR18510340.unmapped.longest_only,763
SRR18510117.unmapped.longest_only,1533
SRR18510447.unmapped.longest_only,1111
SRR18511169.unmapped.longest_only,2446
SRR18511127.unmapped.longest_only,638
SRR18510380.unmapped.longest_only,1968
SRR18510600.unmapped.longest_only,1168
SRR18510548.unmapped.longest_only,1100
SRR18509232.unmapped.longest_only,263
SRR18509596.unmapped.longest_only,2074
SRR18511491.unmapped.longest_only,1234
SRR18509618.unmapped.longest_only,1203
SRR18511373.unmapped.longest_only,916
SRR18511437.unmapped.longest_only,3827
SRR18509720.unmapped.longest_only,915
SRR18511402.unmapped.longest_only,2998
SRR18510943.unmapped.longest_only,2595
SRR18509115.unmapped.longest_only,1439
SRR18511227.unmapped.longest_only,1166
SRR18510565.unmapped.longest_only,1252
SRR18510122.unmapped.longest_only,1070
SRR18510428.unmapped.longest_only,1638
SRR18510973.unmapped.longest_only,834
SRR18510111.unmapped.longest_only,1191
SRR18509999.unmapped.longest_only,2550
SRR18511459.unmapped.longest_only,1296
SRR18509069.unmapped.longest_only,1127
SRR18510055.unmapped.longest_only,1006
SRR18510870.unmapped.longest_only,1454
SRR18509039.unmapped.longest_only,2007
SRR18510841.unmapped.longest_only,824
SRR18509643.unmapped.longest_only,2313
SRR18511252.unmapped.longest_only,2065
SRR18511143.unmapped.longest_only,1091
SRR18509267.unmapped.longest_only,798
SRR18509210.unmapped.longest_only,1237
SRR18510477.unmapped.longest_only,1525
SRR18510168.unmapped.longest_only,1225
SRR18509889.unmapped.longest_only,1167
SRR18509088.unmapped.longest_only,1063
SRR18509680.unmapped.longest_only,1261
SRR18509653.unmapped.longest_only,1280
SRR18510284.unmapped.longest_only,1222
SRR18510905.unmapped.longest_only,910
SRR18510938.unmapped.longest_only,2186
SRR18511336.unmapped.longest_only,632
SRR18509790.unmapped.longest_only,1040
SRR18510726.unmapped.longest_only,1338
SRR18510939.unmapped.longest_only,922
SRR18510244.unmapped.longest_only,1243
SRR18510915.unmapped.longest_only,863
SRR18511386.unmapped.longest_only,999
SRR18510805.unmapped.longest_only,1074
SRR18509119.unmapped.longest_only,2386
SRR18510696.unmapped.longest_only,1431
SRR18510046.unmapped.longest_only,2341
SRR18509896.unmapped.longest_only,1163
